Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Tim Anderson","CHW",131,576,540,155,116,28,2,10,71,57,27,1,110,4,3,1,13,18,6,0.287454,0.0464002,0.191525,0.242267,0.324562,0.400992,0.317296,0.725554,0.113538,5.24299,0.343844,,0.766242,69.3319,3.45558,106.383,0.766242,-2.87,4.904158174991608,3.2101855278015137,2.77858,92.5199966430664,,,,"15172"
"Masataka Yoshida","BOS",120,512,449,127,81,28,1,16,65,64,53,6,62,6,3,0,11,2,1,0.282407,0.104235,0.120985,0.861555,0.364111,0.45801,0.355507,0.822121,0.175603,2.89539,0.295941,,-0.372635,77.1576,18.6131,128.283,-0.372635,0,15.922420233488083,-5.840392112731934,2.77076,219.22999572753906,,,,"31837"
"Luis Urías","MIL",140,570,498,119,75,24,1,19,67,65,56,1,120,11,3,1,11,4,2,0.238062,0.0989443,0.210876,0.469206,0.326354,0.405843,0.322652,0.732197,0.167782,3.26869,0.274404,,-0.478286,70.9836,5.84115,107.458,-0.478286,0.15,4.457993179559708,2.6218341886997223,2.75587,239.8300018310547,,,,"16622"
"Jazz Chisholm Jr.","MIA",132,554,496,117,69,23,5,21,77,64,48,1,157,6,3,1,6,29,6,0.236806,0.0870671,0.28307,0.307582,0.3102,0.42945,0.321609,0.73965,0.192644,7.29939,0.299871,,2.70567,68.5581,5.22039,109.538,2.70567,-1.89,8.844002485275269,-1.24185448884964,2.75496,43.380001068115234,,,,"20454"
"Cedric Mullins","BAL",145,625,563,140,89,28,4,19,82,66,49,2,117,7,4,2,9,28,6,0.249127,0.0789783,0.18703,0.422276,0.315312,0.415368,0.318484,0.730679,0.166241,6.42126,0.280874,,2.35509,75.8347,4.34025,108.033,2.35509,-4.29,8.006927728652954,-2.0461266040802,2.71677,46.849998474121094,,,,"17929"
"Gavin Lux","LAD",130,517,463,118,78,25,3,11,65,54,48,1,110,2,3,0,10,7,2,0.254144,0.0928,0.213165,0.435343,0.32501,0.395038,0.316073,0.720048,0.140894,4.97839,0.308706,,0.16287,61.6935,2.59786,105.112,0.16287,-0.53,3.2321700155735016,4.93847393989563,2.68359,227.64999389648438,,,,"19955"
"Seiya Suzuki","CHC",135,565,489,126,78,27,3,19,73,66,63,3,131,7,4,2,9,9,3,0.256781,0.111645,0.231535,0.482196,0.347626,0.436339,0.342026,0.783965,0.179558,4.59224,0.311302,,0.000476132,79.1442,14.4983,121.53,0.000476132,-1.05,14.142326603148831,-7.801978349685669,2.66289,107.79000091552734,,,,"30116"
"Rhys Hoskins","PHI",146,622,534,127,70,27,1,30,82,86,74,1,150,9,4,1,8,3,1,0.238167,0.119397,0.241449,0.494501,0.338464,0.458601,0.347029,0.797065,0.220434,3.09495,0.272254,,-0.527495,89.5645,18.4267,123.155,-0.527495,-0.46,16.209426522254944,-11.898612946271896,2.65035,125.41999816894531,,,,"16472"
"Jonathan India","CIN",130,557,487,124,79,26,2,16,69,62,51,1,124,15,3,1,10,8,3,0.253371,0.0914167,0.223227,0.409523,0.340417,0.414352,0.332758,0.754769,0.160981,4.32652,0.306551,,-0.1319,73.9046,10.1871,107.811,-0.1319,-0.54,4.924814745783806,1.472083032131195,2.64014,179.7100067138672,,,,"21523"
"Miguel Vargas","LAD",122,472,429,117,76,26,2,13,60,58,35,2,84,4,3,1,8,6,2,0.272817,0.0732358,0.177708,0.412113,0.330679,0.434669,0.332169,0.765348,0.161852,4.31556,0.309551,,0.0254755,62.392,8.40964,116.117,0.0254755,-0.91,8.865769349038601,0.23045390844345093,2.6228,243.5,,,,"20178"
"Teoscar Hernández","SEA",139,589,535,135,78,28,2,27,76,78,45,2,166,5,4,1,9,10,3,0.251585,0.0760199,0.282249,0.269336,0.312841,0.462942,0.334222,0.775783,0.211358,4.82174,0.311643,,0.323927,78.7516,11.4456,123.699,0.323927,-2.03,16.021283835172653,-9.80418610572815,2.62119,74.95999908447266,,,,"13066"
"Jean Segura","MIA",127,535,488,132,98,22,2,11,61,56,33,1,83,7,3,1,14,10,4,0.270435,0.0611471,0.154789,0.395035,0.323328,0.388495,0.312852,0.711823,0.11806,4.51926,0.305362,,-0.00312436,62.4961,1.32009,103.55,-0.00312436,2.72,2.2035840733442456,4.6371989250183105,2.60823,227.7899932861328,,,,"5933"
"Jeremy Peña","HOU",142,587,542,137,91,24,4,18,74,66,32,0,145,8,3,1,11,12,3,0.252744,0.055341,0.246723,0.224304,0.302654,0.409433,0.310643,0.712087,0.15669,5.59805,0.311399,,0.642022,67.5258,0.418118,102.834,0.642022,-2.95,2.5136436820030212,3.611157178878784,2.6057,115.91999816894531,,,,"21636"
"Vaughn Grissom","ATL",122,479,438,120,84,23,2,11,60,51,29,1,85,8,3,1,10,9,3,0.272858,0.0611222,0.1773,0.344738,0.327713,0.406135,0.321251,0.733848,0.133277,4.76598,0.31535,,0.18487,59.1953,4.38152,104.533,0.18487,0.36,2.7094520330429077,5.899104952812195,2.59729,169.3300018310547,,,,"26031"
"Jake Cronenworth","SDP",146,617,543,135,87,27,4,18,75,72,58,2,110,9,4,1,11,5,1,0.249175,0.0938479,0.179212,0.52367,0.329432,0.413329,0.325066,0.742762,0.164155,4.32701,0.279275,,-0.223668,77.9991,7.50357,113.34,-0.223668,2.51,9.331380292773247,-5.486531496047974,2.58158,196.25,,,,"18036"
"Christian Yelich","MIL",144,623,530,134,91,25,3,15,81,59,83,5,147,6,3,1,14,16,4,0.252083,0.132794,0.236593,0.561275,0.357278,0.395097,0.332881,0.752375,0.143014,5.31542,0.320133,,0.643678,82.6458,11.4444,114.452,0.643678,0.38,11.099088311195374,-7.475287079811096,2.58018,126.6500015258789,,,,"11477"
"Enrique Hernández","BOS",127,537,480,116,70,26,1,18,63,62,46,0,103,6,4,1,9,2,1,0.240827,0.0862875,0.191267,0.451136,0.312846,0.414539,0.31828,0.727385,0.173712,2.95233,0.268363,,-0.399809,65.0151,3.6392,102.002,-0.399809,1.84,0.8092884421348572,6.545407176017761,2.5672,360.8800048828125,,,,"10472"
"Danny Jansen","TOR",111,418,369,88,48,18,1,20,54,57,37,1,89,7,2,2,6,2,1,0.237195,0.0894476,0.213841,0.41829,0.31743,0.456825,0.33515,0.774255,0.21963,3.34114,0.257334,,-0.270815,56.2761,8.44244,120.201,-0.270815,-0.69,9.238690972328186,1.7920921444892883,2.55712,179.10000610351562,,,,"16535"
