Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Franchy Cordero","BAL",15,51,46,10,7,2,0,1,6,6,4,0,18,0,0,0,0,1,0,0.220455,0.0854599,0.347021,0.246267,0.288334,0.354754,0.285217,0.643089,0.1343,4.81773,0.32508,-0.104692,0.13872,4.84153,-0.994562,84.5474,0.0340278,-1.06018,-0.8534697331488132,-1.9978388547897339,-0.128696,745.47998046875,4.40143,2.67321,1.72327,"14567"
"Eguy Rosario","SDP",18,47,44,10,7,3,0,1,6,5,3,0,12,0,0,0,0,1,0,0.235314,0.071483,0.244414,0.292467,0.291013,0.373434,0.292729,0.664447,0.13812,4.32017,0.293954,-0.0623857,0.0645204,4.76888,-0.639404,88.4284,0.0021347,-2.58084,-0.6237466188613325,-2.297133892774582,-0.144055,749.8099975585938,2.41948,3.02109,1.76883,"19964"
"Ryan O'Hearn","BAL",17,58,53,12,8,2,0,2,6,7,5,0,16,0,0,0,1,0,0,0.227608,0.0812479,0.26769,0.303514,0.292098,0.370805,0.292794,0.662903,0.143197,1.56398,0.287436,-0.0655932,-0.0555747,5.85966,-0.782231,89.8968,-0.121168,-0.941781,-0.7815512120723724,-2.4826226234436035,-0.148479,748.3800048828125,2.74897,0.645338,1.68421,"16442"
"Colton Cowser","BAL",14,55,47,11,7,2,0,2,7,6,5,0,16,1,1,0,3,1,0,0.241197,0.100315,0.284892,0.352115,0.331046,0.400504,0.323504,0.73155,0.159307,3.78706,0.317608,-0.0802749,0.0502026,6.85271,0.597858,111.577,-0.0300723,-3.32832,0.6825330033898354,-3.9755448698997498,-0.162826,999,0.984459,1.32673,1.72329,"sa3017018"
"Tim Locastro",,26,66,62,12,9,2,0,1,8,6,3,0,16,1,0,0,1,3,0,0.200044,0.0412261,0.239616,0.172051,0.250024,0.281589,0.238897,0.531613,0.0815453,6.84181,0.254717,-0.25509,0.457105,3.84838,-3.73067,51.031,0.202015,-0.614534,-3.509706735610962,-0.21711358428001404,-0.163401,748.4099731445312,3.42162,2.10438,1.69922,"15124"
"Rafael Ortega",,20,74,66,15,11,3,0,2,9,7,7,0,16,0,0,0,1,2,1,0.234278,0.100383,0.214933,0.467042,0.311222,0.36568,0.301014,0.676901,0.131402,3.96025,0.279882,0.0393472,-0.108015,7.9218,-0.511611,94.1841,-0.0686674,-2.57812,-0.5591920018196106,-3.491164743900299,-0.171681,722.52001953125,5.0564,3.03759,1.69836,"10323"
"Ryan Vilade","PIT",10,39,35,8,6,2,0,0,4,3,3,0,7,0,0,0,0,1,0,0.224943,0.0795437,0.187739,0.423692,0.28973,0.300613,0.265621,0.590343,0.0756695,4.94973,0.275597,-0.0218807,0.00276106,3.1068,-1.3735,68.4257,-0.0191196,-1.08989,-1.4564771670848131,-1.542915403842926,-0.176511,999,2.04034,2.95087,1.81213,"22165"
"Jeter Downs","WSN",15,55,49,10,6,2,0,2,6,5,4,0,18,1,0,0,0,1,0,0.195635,0.0763433,0.332264,0.229767,0.270664,0.349052,0.275425,0.619716,0.153417,4.27094,0.263284,0.0187239,0.0449401,4.75313,-1.48822,74.1482,0.063664,-2.37805,-1.5757633298635483,-1.9963924288749695,-0.182243,745,1.85482,2.16099,1.69566,"22202"
"Justin Upton",,37,144,127,26,16,5,0,5,16,16,14,0,46,2,1,0,2,1,0,0.201304,0.0941054,0.322329,0.291954,0.285924,0.361819,0.287906,0.647743,0.160516,2.86779,0.265809,-0.248899,-0.00970441,13.9695,-2.4989,85.0775,-0.258604,-0.760847,-2.7163229882717133,-3.8001714944839478,-0.189004,999,3.33826,1.10584,1.21095,"5222"
"Magneuris Sierra",,19,47,43,9,8,1,0,0,5,3,2,0,10,0,0,1,0,3,0,0.212389,0.0535099,0.224563,0.238285,0.255994,0.251307,0.229124,0.507301,0.0389182,6.77542,0.278436,-0.24286,0.417786,2.339,-2.97847,41.5389,0.174926,0,-2.983681485056877,-0.5126007199287415,-0.202819,999,3.01084,0.620206,1.8338,"17023"
"Alejo Lopez",,33,117,107,28,22,5,0,1,12,11,8,0,16,1,1,0,2,2,0,0.263337,0.0690367,0.13641,0.506096,0.321776,0.344651,0.297549,0.666427,0.0813143,3.94847,0.299513,-0.202586,0.073865,12.2631,-1.13536,83.7358,-0.128721,-4.04057,-2.342895045876503,-3.610032618045807,-0.211104,999,3.09395,0.387514,1.66432,"21127"
"Raimel Tapia",,29,114,107,28,20,6,1,1,14,11,7,0,20,0,0,0,2,3,1,0.265416,0.0571097,0.176043,0.324408,0.306836,0.383611,0.302216,0.690447,0.118195,5.78678,0.313557,0.208626,0.0213553,12.4052,-0.684769,90.661,0.229982,-3.69625,-0.9730688780546188,-4.693265438079834,-0.212117,671.1699829101562,5.13543,1.93146,1.68113,"14350"
"Yoshi Tsutsugo",,30,118,103,22,13,5,0,4,12,13,13,0,34,0,1,0,1,0,0,0.210632,0.112647,0.288558,0.390379,0.29985,0.371167,0.297404,0.671018,0.160535,1.27374,0.268398,-0.0828058,-0.126681,12.3373,-1.15705,92.8573,-0.209487,-2.34157,-1.1580296605825424,-5.084139108657837,-0.260753,748.1900024414062,2.88381,0.277628,1.36579,"27459"
"Tyler Soderstrom","OAK",23,88,81,18,12,3,0,3,9,10,5,0,24,1,1,0,1,0,0,0.224466,0.0594073,0.27499,0.216034,0.275438,0.373732,0.284103,0.64917,0.149266,2.72928,0.282524,-0.0344323,-0.0508394,8.28002,-1.79489,88.7321,-0.0852717,-2.76899,-1.2024677023291588,-5.286088466644287,-0.386626,999,0.994175,1.01645,1.55118,"sa3014489"
