Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Trevor Story","BOS",60,257,230,54,31,13,1,9,31,31,22,2,69,3,2,1,,9,3,0.237248,0.0858998,0.268375,0.320074,0.309705,0.420099,0.316525,0.729804,0.182851,5.27918,0.296347,0.412,0.503192,30.8144,1.38608,100.763,0.915192,0.65,1.1360939592123032,-1.159000039100647,0.85825,502.2900085449219,,,,"12564"
"Jake Rogers","DET",60,234,207,42,25,8,1,8,25,25,21,0,70,2,2,2,,4,1,0.20258,0.0898,0.299747,0.299586,0.281194,0.369675,0.287212,0.650868,0.167095,4.84596,0.259376,-0.159,0.0128826,22.6117,-4.19709,86.9565,-0.146117,0.981,-3.587373897433281,6.002999842166901,0.848682,740.0599975585938,,,,"19452"
"Jared Walsh","LAA",115,472,426,102,60,21,2,20,54,62,36,4,128,4,3,2,,3,1,0.239094,0.0764001,0.27181,0.281079,0.302583,0.432591,0.316436,0.735174,0.193497,3.3986,0.292184,-0.628,-0.329387,56.4648,2.50782,104.508,-0.957387,1.007,1.4366000890731812,-8.416000366210938,0.845201,343.7900085449219,,,,"18607"
"Daniel Vogelbach","NYM",84,350,291,64,39,11,1,13,41,40,53,1,86,2,2,1,,1,0,0.219697,0.1527,0.247099,0.61797,0.34247,0.399688,0.329067,0.742157,0.179991,2.36169,0.261143,-1.022,-0.364864,45.3976,5.37278,118.234,-1.38686,0,6.02845025062561,-9.82800006866455,0.837588,606.6900024414062,,,,"14130"
"Carlos Santana","PIT",117,488,415,95,60,18,1,17,55,55,65,1,83,3,3,2,,1,0,0.228577,0.1323,0.171103,0.773218,0.33481,0.395214,0.323313,0.730025,0.166637,2.19287,0.245431,-0.444,-0.475591,61.06,5.25961,107.874,-0.919591,-0.272,3.5447060465812683,-12.044000327587128,0.831504,419.7900085449219,,,,"2396"
"Jarred Kelenic","SEA",102,393,351,77,45,17,1,14,44,45,32,2,100,4,3,3,,10,4,0.219482,0.0818,0.254137,0.321874,0.289201,0.397028,0.29879,0.686229,0.177546,4.89842,0.261237,0.204,0.241644,41.4676,-3.41631,98.6847,0.445644,0.81,-0.13534802198410034,-4.508999764919281,0.825025,310.55999755859375,,,,"22558"
"Kerry Carpenter","DET",92,387,353,87,53,18,1,15,43,48,25,2,88,5,3,1,,4,2,0.245139,0.0641999,0.227984,0.281598,0.301591,0.428553,0.314894,0.730144,0.183414,3.93868,0.283938,-0.174,-0.342073,45.868,1.58393,106.499,-0.516073,-0.121,2.316383183002472,-6.8979999497532845,0.814068,389.7699890136719,,,,"25961"
"Gary Sanchez",,75,306,270,55,30,11,0,13,34,37,28,0,86,4,2,1,,1,1,0.203497,0.0920001,0.279793,0.328815,0.286002,0.395691,0.298958,0.681692,0.192193,2.95518,0.240023,-0.594,-0.214037,32.3619,-2.62216,92.7554,-0.808037,-1.112,-3.3427239060401917,0.9509999752044678,0.813422,387.7300109863281,,,,"11442"
"Will Brennan","CLE",70,283,257,70,48,15,1,5,31,29,20,0,43,3,2,2,,5,2,0.270747,0.0687999,0.150281,0.457807,0.326556,0.396868,0.317382,0.723424,0.126121,4.58121,0.305622,0.006,-0.0816704,34.1351,1.71981,106.852,-0.0756704,-0.563,2.1101640090346336,-3.3980000615119934,0.812792,471.8800048828125,,,,"25660"
"Dylan Moore","SEA",70,278,239,49,30,11,1,7,31,27,28,1,78,6,2,2,,18,6,0.2058,0.1025,0.282037,0.363427,0.303736,0.352607,0.292461,0.656344,0.146807,6.50399,0.269402,0.309,0.789289,27.9678,-3.81692,94.2165,1.09829,-1.213,-0.7107894420623779,-0.4840000867843628,0.80412,459.0799865722656,,,,"18042"
"Connor Wong","BOS",42,167,154,37,23,9,0,5,19,19,10,0,43,2,1,1,,2,1,0.243515,0.0578999,0.257127,0.225181,0.292622,0.411301,0.306082,0.703923,0.167786,4.06336,0.300751,0.005,-0.0164189,18.6338,-0.486762,93.3899,-0.0114189,-0.563,-1.2552350480109453,2.952000081539154,0.800264,674.27001953125,,,,"19896"
"David Peralta","LAD",97,393,354,88,57,19,2,11,44,46,31,3,87,3,3,2,,2,1,0.248372,0.0784,0.221123,0.354554,0.311738,0.402229,0.310124,0.713967,0.153857,3.6812,0.297433,-0.114,-0.311269,45.078,0.118126,101.044,-0.425269,-0.872,0.05152904987335205,-5.732000112533569,0.792562,572.9400024414062,,,,"2136"
"Kyle Isbel","KCR",115,468,424,102,66,20,4,11,47,47,32,0,113,6,3,2,,16,6,0.239363,0.0690999,0.242517,0.284929,0.299634,0.381958,0.298913,0.681592,0.142595,5.98168,0.299743,0.084,0.23306,49.4382,-4.02353,90.6841,0.31706,1.337,-4.584277391433716,-2.794000029563904,0.788838,528.52001953125,,,,"21614"
"Lenyn Sosa","CHW",65,258,239,59,41,11,1,7,27,28,12,0,49,2,2,2,,2,1,0.248631,0.0481999,0.188626,0.255532,0.290025,0.386548,0.295081,0.676573,0.137918,3.47099,0.283174,0.015,-0.158237,26.4477,-3.00037,90.6993,-0.143237,0.689,-2.838591381907463,2.146999955177307,0.788617,705.9600219726562,,,,"22896"
"Yonathan Daza","COL",102,456,417,116,86,23,2,5,52,38,29,0,76,4,3,4,,4,2,0.278692,0.0626001,0.166156,0.376755,0.328897,0.379861,0.312478,0.708759,0.101169,4.11072,0.328211,0.402,-0.365581,53.1661,0.990566,86.0611,0.0364193,-1.867,-7.353157177567482,-0.49000000953674316,0.788408,545.47998046875,,,,"15794"
