splits,gamesPlayed,runs,hits,atBats,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,groundIntoTriplePlay,plateAppearances,totalBases,leftOnBase,catchersInterference,pickoffs,atBatsPerHomeRun,full_name,position,position_type,team,game_location,opp,order,DKPts,note,team_hits,team_singles,team_rbi,team_runs,team_doubles,team_triples,team_homeRuns,team_strikeOuts,team_baseOnBalls,team_hitByPitch,team_stolenBases,season,game_date,team_DKPts,singles,bats,doubles,triples,homeRuns,rbi,baseOnBalls,hitByPitch,strikeOuts,intentionalWalks,flyOuts,groundOuts,sacFlies,sacBunts,launchSpeed,launchAngle,distance,DKPts_splits,wOBA,AVG,OBP,SLG,OPS,ISO,SB_perAtBat,DKPts_share,hits_share,runs_share,singles_share,doubles_share,triples_share,homeRuns_share,rbi_share,stolenBases_share,baseOnBalls_share,exWOBA,RotoName,opp_pitcher_id,Roster Position,Salary,opp_pitcher_hand
vs_RHP,1,0,2,4,0,0,.---,0,0,5,2,2,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,LAA,9,8,,14,11,5,5,2,0,1,7,5,0,2,2013,2013-06-07,93,2.0,R,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,8.0,0.4932,0.5,0.6,0.5,1.1,0.0,0.0,0.086021505376344,0.1428571428571428,0.0,0.1818181818181818,0.0,,0.0,0.0,0.0,0.2,,joseigles,462102,SS,3400.0,R
vs_LHP,1,1,2,4,0,1,1.000,0,0,4,2,1,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,LAA,9,13,,13,9,7,7,3,0,1,8,3,0,1,2013,2013-06-08,91,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,7.0,0.0,0.5,0.5,0.0,0.5,-0.5,0.25,0.1428571428571428,0.1538461538461538,0.1428571428571428,0.0,0.0,,0.0,0.0,1.0,0.0,,joseigles,450351,SS,3400.0,L
vs_RHP,1,0,2,4,0,0,.---,0,0,4,3,2,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,LAA,9,8,,11,5,10,10,1,1,4,8,4,0,1,2013,2013-06-09,121,1.0,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,8.0,0.53975,0.5,0.5,0.75,1.25,0.25,0.0,0.0661157024793388,0.1818181818181818,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,,joseigles,430599,SS,3400.0,R
vs_LHP,1,1,2,4,0,0,.---,0,0,4,2,0,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,TB,9,8,,9,9,3,3,0,0,0,9,2,1,2,2013,2013-06-11,55,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,0.5,0.5,0.0,0.5,-0.5,0.0,0.1454545454545454,0.2222222222222222,0.3333333333333333,0.0,,,,0.0,0.0,0.0,,joseigles,433584,SS,3000.0,R
vs_RHP,1,0,2,4,0,0,.---,1,0,4,3,2,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,BAL,7,8,,3,2,0,0,1,0,0,5,4,1,0,2013,2013-06-14,21,1.0,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,0.53975,0.5,0.5,0.75,1.25,0.25,0.0,0.3809523809523809,0.6666666666666666,,0.5,1.0,,,,,0.0,,joseigles,501957,SS,3200.0,R
vs_LHP,1,0,1,3,1,0,.000,0,0,4,1,1,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,BAL,9,5,,9,5,5,5,1,1,2,8,2,0,3,2013,2013-06-15,87,0.0,R,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.1725,0.3333333333333333,0.5,0.0,0.5,-0.3333333333333333,0.0,0.057471264367816,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,joseigles,150119,SS,3500.0,R
vs_LHP,1,0,1,4,0,0,.---,0,0,4,1,3,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,BAL,2,3,0,6,4,3,3,1,0,1,2,2,0,0,2013,2013-06-16,43,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.222,0.25,0.25,0.25,0.5,0.0,0.0,0.0697674418604651,0.1666666666666666,0.0,0.25,0.0,,0.0,0.0,,0.0,,joseigles,456068,SS,3200.0,R
vs_LHP,1,0,1,3,0,0,.---,0,0,3,1,1,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,TB,9,3,,7,3,3,3,2,0,2,3,3,0,0,2013,2013-06-18,57,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0526315789473684,0.1428571428571428,0.0,0.0,0.0,,0.0,0.0,,0.0,,joseigles,543606,SS,3600.0,R
vs_LHP,1,0,0,2,0,0,.---,0,0,3,0,2,0,0,-.--,jose iglesias,,Infielder,BOS,home,TB,9,2,,7,5,2,2,2,0,0,9,1,0,0,2013,2013-06-19,35,0.0,R,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.2299999999999999,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0571428571428571,0.0,0.0,0.0,0.0,,,0.0,,1.0,,joseigles,476451,SS,3300.0,R
vs_LHP,1,1,1,3,0,0,.---,0,0,4,3,0,0,0,-.--,jose iglesias,,Infielder,BOS,away,DET,9,12,,7,3,3,3,2,1,1,9,4,2,1,2013,2013-06-20,66,0.0,R,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,12.0,0.5765,0.3333333333333333,0.5,1.0,1.5,0.6666666666666667,0.0,0.1818181818181818,0.1428571428571428,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.25,,joseigles,501625,SS,2900.0,L
